nil	cat	day	diff
1	Arts & Entertainment	2014-09-02	10
1	Arts & Entertainment	2014-09-03	9
1	Arts & Entertainment	2014-09-04	3
1	Arts & Entertainment	2014-09-05	13
1	Arts & Entertainment	2014-09-06	12
1	Arts & Entertainment	2014-09-07	23
1	College & University	2014-09-02	1
1	College & University	2014-09-03	4
1	College & University	2014-09-04	5
1	College & University	2014-09-05	4
1	College & University	2014-09-06	527
1	College & University	2014-09-07	5
1	Event	2014-09-02	0
1	Event	2014-09-03	0
1	Event	2014-09-04	0
1	Event	2014-09-05	1
1	Event	2014-09-06	0
1	Event	2014-09-07	0
1	Food	2014-09-02	84
1	Food	2014-09-03	121
1	Food	2014-09-04	137
1	Food	2014-09-05	132
1	Food	2014-09-06	1027
1	Food	2014-09-07	149
1	Nightlife Spot	2014-09-02	14
1	Nightlife Spot	2014-09-03	15
1	Nightlife Spot	2014-09-04	26
1	Nightlife Spot	2014-09-05	28
1	Nightlife Spot	2014-09-06	37
1	Nightlife Spot	2014-09-07	31
1	Outdoors & Recreation	2014-09-02	53
1	Outdoors & Recreation	2014-09-03	81
1	Outdoors & Recreation	2014-09-04	85
1	Outdoors & Recreation	2014-09-05	79
1	Outdoors & Recreation	2014-09-06	89
1	Outdoors & Recreation	2014-09-07	121
1	Professional & Other Places	2014-09-02	40
1	Professional & Other Places	2014-09-03	77
1	Professional & Other Places	2014-09-04	61
1	Professional & Other Places	2014-09-05	85
1	Professional & Other Places	2014-09-06	82
1	Professional & Other Places	2014-09-07	71
1	Shop & Service	2014-09-02	29
1	Shop & Service	2014-09-03	36
1	Shop & Service	2014-09-04	55
1	Shop & Service	2014-09-05	45
1	Shop & Service	2014-09-06	44
1	Shop & Service	2014-09-07	56
1	Travel & Transport	2014-09-02	13
1	Travel & Transport	2014-09-03	37
1	Travel & Transport	2014-09-04	45
1	Travel & Transport	2014-09-05	32
1	Travel & Transport	2014-09-06	34
1	Travel & Transport	2014-09-07	22
10	Arts & Entertainment	2014-09-02	0
10	Arts & Entertainment	2014-09-03	0
10	Arts & Entertainment	2014-09-04	0
10	Arts & Entertainment	2014-09-05	2
10	Arts & Entertainment	2014-09-06	2
10	Arts & Entertainment	2014-09-07	1
10	Food	2014-09-02	14
10	Food	2014-09-03	27
10	Food	2014-09-04	30
10	Food	2014-09-05	32
10	Food	2014-09-06	35
10	Food	2014-09-07	20
10	Nightlife Spot	2014-09-02	2
10	Nightlife Spot	2014-09-03	3
10	Nightlife Spot	2014-09-04	10
10	Nightlife Spot	2014-09-05	8
10	Nightlife Spot	2014-09-06	7
10	Nightlife Spot	2014-09-07	3
10	Outdoors & Recreation	2014-09-02	1
10	Outdoors & Recreation	2014-09-03	7
10	Outdoors & Recreation	2014-09-04	4
10	Outdoors & Recreation	2014-09-05	2
10	Outdoors & Recreation	2014-09-06	4
10	Outdoors & Recreation	2014-09-07	9
10	Professional & Other Places	2014-09-02	3
10	Professional & Other Places	2014-09-03	12
10	Professional & Other Places	2014-09-04	7
10	Professional & Other Places	2014-09-05	9
10	Professional & Other Places	2014-09-06	12
10	Professional & Other Places	2014-09-07	0
10	Residence	2014-09-02	0
10	Residence	2014-09-03	0
10	Residence	2014-09-04	1
10	Residence	2014-09-05	0
10	Residence	2014-09-06	0
10	Residence	2014-09-07	0
10	Shop & Service	2014-09-02	0
10	Shop & Service	2014-09-03	3
10	Shop & Service	2014-09-04	1
10	Shop & Service	2014-09-05	3
10	Shop & Service	2014-09-06	4
10	Shop & Service	2014-09-07	1
10	Travel & Transport	2014-09-02	11
10	Travel & Transport	2014-09-03	22
10	Travel & Transport	2014-09-04	29
10	Travel & Transport	2014-09-05	30
10	Travel & Transport	2014-09-06	44
